"","day","time","junk1","junk2","Nflasks","quality","co2","date"
"69","1963-06-15"," 22:45",23177.95,1963.455,2,2,NA,1963-06-15 22:45:00
"70","1963-07-05"," 07:15",23197.3,1963.508,2,4,NA,1963-07-05 07:15:00
"71","1963-07-16"," 22:05",23208.92,1963.54,2,4,NA,1963-07-16 22:05:00
"72","1963-08-02"," 23:00",23225.96,1963.586,2,4,NA,1963-08-02 23:00:00
"73","1963-08-15"," 22:35",23238.94,1963.622,2,2,NA,1963-08-15 22:35:00
"74","1963-09-04"," 22:00",23258.92,1963.676,2,2,NA,1963-09-04 22:00:00
"75","1963-09-17"," 08:00",23271.33,1963.711,2,0,316.38,1963-09-17 08:00:00
"76","1963-10-01"," 22:00",23285.92,1963.75,1,4,NA,1963-10-01 22:00:00
"77","1963-10-17"," 23:00",23301.96,1963.794,2,2,NA,1963-10-17 23:00:00
"78","1963-12-17"," 21:50",23362.91,1963.961,2,2,NA,1963-12-17 21:50:00
"79","1964-01-15"," 19:00",23391.79,1964.04,2,2,NA,1964-01-15 19:00:00
"80","1964-06-30"," 20:18",23558.85,1964.497,2,4,NA,1964-06-30 20:18:00
"81","1964-07-13"," 19:10",23571.8,1964.532,1,4,NA,1964-07-13 19:10:00
"82","1964-07-31"," 22:58",23589.96,1964.582,2,2,NA,1964-07-31 22:58:00
"83","1964-08-18"," 05:53",23607.25,1964.629,2,4,NA,1964-08-18 05:53:00
"84","1964-08-31"," 20:57",23620.87,1964.666,2,2,NA,1964-08-31 20:57:00
"85","1964-09-14"," 23:50",23634.99,1964.705,2,2,NA,1964-09-14 23:50:00
"86","1964-10-02"," 22:48",23652.95,1964.754,2,2,NA,1964-10-02 22:48:00
"87","1964-10-14"," 10:13",23664.43,1964.785,2,4,NA,1964-10-14 10:13:00
"88","1964-10-31"," 21:30",23681.9,1964.833,2,2,NA,1964-10-31 21:30:00
"89","1964-11-14"," 21:45",23695.91,1964.871,2,4,NA,1964-11-14 21:45:00
"90","1964-11-30"," 23:30",23711.98,1964.915,2,2,NA,1964-11-30 23:30:00
"91","1964-12-17"," 06:37",23728.28,1964.96,1,4,NA,1964-12-17 06:37:00
"92","1964-12-31"," 09:13",23742.38,1964.998,2,0,319.49,1964-12-31 09:13:00
"93","1965-01-13"," 13:52",23755.58,1965.034,2,0,319.88,1965-01-13 13:52:00
"94","1965-01-29"," 09:55",23771.41,1965.078,2,4,NA,1965-01-29 09:55:00
"95","1965-02-16"," 08:10",23789.34,1965.127,2,4,NA,1965-02-16 08:10:00
"96","1965-03-04"," 07:04",23805.29,1965.171,2,2,NA,1965-03-04 07:04:00
"97","1965-03-17"," 05:44",23818.24,1965.206,2,2,NA,1965-03-17 05:44:00
"98","1965-03-31"," 09:07",23832.38,1965.245,2,4,NA,1965-03-31 09:07:00
"99","1965-04-15"," 09:17",23847.39,1965.286,2,0,322.61,1965-04-15 09:17:00
"100","1965-04-30"," 05:25",23862.23,1965.327,2,4,NA,1965-04-30 05:25:00
"101","1965-05-14"," 06:25",23876.27,1965.365,2,4,NA,1965-05-14 06:25:00
"102","1965-05-30"," 07:20",23892.31,1965.409,2,2,NA,1965-05-30 07:20:00
"103","1965-06-17"," 22:00",23910.92,1965.46,2,2,NA,1965-06-17 22:00:00
"104","1965-06-30"," 08:00",23923.33,1965.494,2,4,NA,1965-06-30 08:00:00
"105","1965-07-16"," 14:45",23939.61,1965.539,2,0,319.21,1965-07-16 14:45:00
"106","1965-08-01"," 06:05",23955.25,1965.582,2,4,NA,1965-08-01 06:05:00
"107","1965-08-14"," 05:20",23968.22,1965.617,2,4,NA,1965-08-14 05:20:00
"108","1965-08-30"," 06:08",23984.26,1965.661,2,2,NA,1965-08-30 06:08:00
"109","1965-09-14"," 05:55",23999.25,1965.702,2,2,NA,1965-09-14 05:55:00
"110","1965-10-03"," 06:10",24018.26,1965.754,2,4,NA,1965-10-03 06:10:00
"111","1965-10-16"," 06:00",24031.25,1965.79,2,4,NA,1965-10-16 06:00:00
"112","1965-10-30"," 06:10",24045.26,1965.828,2,4,NA,1965-10-30 06:10:00
"113","1965-11-15"," 06:43",24061.28,1965.872,2,4,NA,1965-11-15 06:43:00
"114","1965-12-02"," 04:20",24078.18,1965.918,2,4,NA,1965-12-02 04:20:00
"115","1965-12-13"," 21:30",24089.9,1965.95,2,4,NA,1965-12-13 21:30:00
"116","1965-12-30"," 02:45",24106.11,1965.995,2,2,NA,1965-12-30 02:45:00
"117","1966-01-14"," 19:45",24121.82,1966.038,2,0,320.42,1966-01-14 19:45:00
"118","1966-01-31"," 09:57",24138.41,1966.083,2,0,320.91,1966-01-31 09:57:00
"119","1966-02-16"," 08:55",24154.37,1966.127,2,4,NA,1966-02-16 08:55:00
"120","1966-02-28"," 13:53",24166.58,1966.16,2,0,322.24,1966-02-28 13:53:00
"121","1966-03-17"," 07:40",24183.32,1966.206,2,2,NA,1966-03-17 07:40:00
